,MESS_DATUM, RSK
632,20171120,13.5
633,20171121,6.1
634,20171122,0.0
635,20171123,7.5
636,20171124,2.2
637,20171125,0.2
638,20171126,0.4
639,20171127,14.4
640,20171128,0.0
641,20171129,0.0
642,20171130,0.0
643,20171201,0.0
644,20171202,0.5
645,20171203,1.4
646,20171204,0.2
647,20171205,0.0
648,20171206,0.0
649,20171207,7.5
650,20171208,11.9
651,20171209,6.9
652,20171210,13.6
653,20171211,9.2
654,20171212,0.0
655,20171213,12.9
656,20171214,6.2
657,20171215,0.1
658,20171216,1.0
659,20171217,8.0
660,20171218,0.8
661,20171219,1.0
662,20171220,0.6
663,20171221,1.0
664,20171222,0.9
665,20171223,0.0
666,20171224,-999.0
667,20171225,-999.0
668,20171226,-999.0
669,20171227,-999.0
670,20171228,-999.0
671,20171229,-999.0
672,20171230,-999.0
673,20171231,-999.0
674,20180101,-999.0
675,20180102,-999.0
676,20180103,-999.0
677,20180104,-999.0
678,20180105,-999.0
679,20180106,-999.0
680,20180107,-999.0
681,20180108,-999.0
682,20180109,-999.0
683,20180110,1.3
684,20180111,0.0
685,20180112,0.0
686,20180113,0.0
687,20180114,0.0
688,20180115,8.4
689,20180116,6.6
690,20180117,7.0
691,20180118,8.1
692,20180119,2.0
693,20180120,1.4
694,20180121,2.1
695,20180122,0.1
696,20180123,0.7
697,20180124,1.4
698,20180125,0.2
699,20180126,0.0
700,20180127,1.8
701,20180128,0.4
702,20180129,4.4
703,20180130,2.9
704,20180131,10.1
705,20180201,5.4
706,20180202,2.7
707,20180203,0.0
708,20180204,0.5
709,20180205,0.0
710,20180206,0.0
711,20180207,0.0
712,20180208,0.0
713,20180209,0.8
714,20180210,4.4
715,20180211,2.3
716,20180212,0.0
717,20180213,0.0
718,20180214,2.0
719,20180215,1.3
720,20180216,0.0
721,20180217,0.0
722,20180218,0.0
723,20180219,0.0
724,20180220,0.0
725,20180221,0.0
726,20180222,0.0
727,20180223,0.0
728,20180224,0.0
729,20180225,0.0
730,20180226,0.0
731,20180227,0.0
732,20180228,0.0
733,20180301,0.0
734,20180302,0.3
735,20180303,0.0
736,20180304,1.1
737,20180305,0.0
738,20180306,0.0
739,20180307,1.5
740,20180308,3.6
741,20180309,6.1
742,20180310,0.8
743,20180311,0.0
744,20180312,5.8
745,20180313,3.3
746,20180314,0.0
747,20180315,2.6
748,20180316,0.1
749,20180317,0.0
750,20180318,0.0
751,20180319,0.4
752,20180320,0.0
753,20180321,1.1
754,20180322,1.0
755,20180323,0.0
756,20180324,0.0
757,20180325,0.0
758,20180326,2.6
759,20180327,3.1
760,20180328,12.6
761,20180329,2.3
762,20180330,1.8
763,20180331,7.6
764,20180401,1.0
765,20180402,1.4
766,20180403,0.1
767,20180404,6.2
768,20180405,0.6
769,20180406,0.0
770,20180407,0.0
771,20180408,0.0
772,20180409,0.0
773,20180410,3.0
774,20180411,0.0
775,20180412,0.9
776,20180413,0.0
777,20180414,3.5
778,20180415,0.0
779,20180416,0.0
780,20180417,0.0
781,20180418,0.0
782,20180419,0.0
783,20180420,0.0
784,20180421,0.0
785,20180422,3.0
786,20180423,0.0
787,20180424,0.8
788,20180425,10.4
789,20180426,1.3
790,20180427,0.0
791,20180428,0.1
792,20180429,37.2
793,20180430,7.2
794,20180501,0.6
795,20180502,0.0
796,20180503,0.0
797,20180504,0.0
798,20180505,0.0
799,20180506,0.0
800,20180507,0.0
801,20180508,0.0
802,20180509,1.0
803,20180510,0.0
804,20180511,0.0
805,20180512,0.0
806,20180513,6.6
807,20180514,0.0
808,20180515,0.0
809,20180516,0.3
810,20180517,0.0
811,20180518,0.0
812,20180519,0.0
813,20180520,0.0
814,20180521,6.0
815,20180522,3.3
816,20180523,0.2
817,20180524,1.9
818,20180525,0.0
819,20180526,0.0
820,20180527,3.7
821,20180528,0.0
822,20180529,81.9
823,20180530,0.0
824,20180531,0.0
825,20180601,15.6
826,20180602,0.0
827,20180603,0.0
828,20180604,0.0
829,20180605,0.0
830,20180606,0.0
831,20180607,7.7
832,20180608,10.0
833,20180609,0.0
834,20180901,0.0
835,20180902,0.0
836,20180903,0.5
837,20180904,3.7
838,20180905,1.1
839,20180906,6.8
840,20180907,3.4
841,20180908,0.1
842,20180909,0.0
843,20180910,0.0
844,20180911,0.0
845,20180912,1.0
846,20180913,0.0
847,20180914,0.0
848,20180915,0.7
849,20180916,0.0
850,20180917,0.0
851,20180918,0.0
852,20180919,0.0
853,20180920,0.0
854,20180921,13.0
855,20180922,2.5
856,20180923,12.6
857,20180924,0.5
858,20180925,0.0
859,20180926,0.0
860,20180927,0.0
861,20180928,0.0
862,20180929,0.0
863,20180930,0.0
864,20181001,2.8
865,20181002,0.4
866,20181003,0.0
867,20181004,0.0
868,20181005,0.0
869,20181006,0.0
870,20181007,0.0
871,20181008,0.0
872,20181009,0.0
873,20181010,0.0
874,20181011,0.0
875,20181012,0.0
876,20181013,0.0
877,20181014,0.0
878,20181015,0.0
879,20181016,0.0
880,20181017,0.0
881,20181018,0.0
882,20181019,0.0
883,20181020,0.0
884,20181021,0.3
885,20181022,0.2
886,20181023,0.3
887,20181024,0.8
888,20181025,0.0
889,20181026,4.0
890,20181027,0.0
891,20181028,0.0
892,20181029,10.5
893,20181030,12.1
894,20181031,0.0
895,20181101,4.3
896,20181102,1.0
897,20181103,0.0
898,20181104,0.0
899,20181105,0.0
900,20181106,0.0
901,20181107,1.3
902,20181108,0.0
903,20181109,0.4
904,20181110,4.7
905,20181111,6.9
906,20181112,5.3
907,20181113,0.3
908,20181114,0.0
909,20181115,0.0
910,20181116,0.0
911,20181117,0.0
912,20181118,0.0
913,20181119,0.0
914,20181120,0.0
915,20181121,0.0
916,20181122,0.0
917,20181123,0.0
918,20181124,0.5
919,20181125,0.0
920,20181126,0.0
921,20181127,0.0
922,20181128,6.3
923,20181129,1.8
924,20181130,0.0
925,20181201,3.5
926,20181202,24.0
927,20181203,3.4
928,20181204,0.0
929,20181205,2.2
930,20181206,5.1
931,20181207,6.8
932,20181208,8.3
933,20181209,8.9
934,20181210,0.6
935,20181211,0.0
936,20181212,0.0
937,20181213,0.0
938,20181214,0.0
939,20181215,0.9
940,20181216,0.5
941,20181217,3.5
942,20181218,0.3
943,20181219,0.1
944,20181220,4.9
945,20181221,22.0
946,20181222,2.1
947,20181223,15.4
948,20181224,0.0
949,20181225,0.0
950,20181226,0.0
951,20181227,0.0
952,20181228,0.2
953,20181229,0.6
954,20181230,2.2
955,20181231,0.1
956,20190101,0.8
957,20190102,0.1
958,20190103,0.1
959,20190104,1.4
960,20190105,0.9
961,20190106,0.0
962,20190107,5.6
963,20190108,3.9
964,20190109,0.0
965,20190110,2.3
966,20190111,2.4
967,20190112,8.2
968,20190113,15.2
969,20190114,2.3
970,20190115,0.0
971,20190116,4.0
972,20190117,5.5
973,20190118,0.0
974,20190119,0.0
975,20190120,0.0
976,20190121,0.0
977,20190122,5.1
978,20190123,0.0
